Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,Number,Street,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1365557972,PRY7578,99,COM,03/03/2013,40,DELV,INTER,P,34730,29900,10510,0,18.0,18,18,940527,0018,0000,0820A,,NY,F,69,W 48,,0.0,408.0,C,,BBBBBBB,ALL,ALL,WH,0.0,0.0,-,0.0,,,,,
1358021557,54149JA,NY,COM,03/03/2013,20,VAN,TOYOT,P,34390,10810,10910,20150228,14.0,14,14,895350,0014,0000,0108A,1108A,NY,F,320,W 31ST ST,,0.0,408.0,J6,,YYYYYYB,0800A,0600P,GRY,0.0,2007.0,-,0.0,,,,,
1357271505,NULL11,NY,PAS,03/03/2013,20,SDN,ACURA,X,34070,10410,10510,20141121,13.0,13,13,949419,0013,0000,0423P,,NY,O,60,W 15 ST,,0.0,408.0,D,,YYYYYBB,0800A,0600P,WHITE,0.0,2003.0,-,0.0,,,,,
1359090198,T93774,TN,PAS,03/03/2013,66,TRLR,,P,0,0,0,0,103.0,103,102,944426,0102,0000,1236A,,Q,F,,,,0.0,408.0,F2,,BBBBBBB,ALL,ALL,,0.0,0.0,-,0.0,,,,,
1359396548,GGU8139,NY,PAS,03/03/2013,67,SUBN,MAZDA,P,0,0,0,20150708,,0,43,940132,0043,0000,0103A,,BX,,,C/O ST LAWRENCE,LACOMBE AVE,0.0,408.0,K6,,BBBBBBB,ALL,ALL,WHITE,0.0,2007.0,-,0.0,,,,,
1363108440,WZU3802,99,PAS,03/03/2013,40,SDN,HONDA,X,0,0,0,0,48.0,48,163,953201,0163,0000,0324A,,BX,F,,C/O EAST 179 STREET,MARION AVE,0.0,408.0,J3,,BBBBBBB,ALL,ALL,WHITE,0.0,0.0,-,0.0,,,,,
1365557984,PAY7578,MN,PAS,03/03/2013,14,DELV,INTER,P,34730,29900,10510,0,18.0,18,18,940527,0018,0000,0820A,,NY,F,69,W 48,,0.0,408.0,J6,,BBBBBBB,ALL,ALL,WH,0.0,0.0,-,0.0,,,,,
1359610959,AE427R,NJ,PAS,03/03/2013,46,DELV,CHEVR,P,5580,86530,72230,0,78.0,78,78,948609,0078,0000,1045A,,K,F,218,5TH AVE,,0.0,408.0,F1,,BBBBBBB,0  :,0  :,WH,0.0,0.0,-,0.0,,,,,
1359610960,13844JZ,NY,COM,03/03/2013,46,DELV,HINO,P,5430,86530,72230,20140531,78.0,78,78,948609,0078,0000,1050A,,K,F,230,4TH AVE,,0.0,408.0,F1,,BBBBBBB,0  :,0  :,WH,0.0,2003.0,-,0.0,,,,,
1359670002,FPY1191,NY,PAS,03/03/2013,70,SDN,NISSA,P,17398,51800,21950,20131013,120.0,120,120,948806,0120,0000,0245P,,R,F,88,BARKER ST,,0.0,408.0,K6,,BBBBBBB,ALL,ALL,GOLD,0.0,0.0,-,0.0,,,,,
1358250431,26251ME,NY,COM,03/03/2013,71,SDN,CHEVR,P,27225,22620,45890,20151104,105.0,105,105,949691,0105,0000,0212A,,Q,F,139-38,249TH ST,,0.0,408.0,D1,,BBBBBBB,ALL,ALL,WHITE,0.0,1996.0,-,0.0,,,,,
1366733034,BXLH62,FL,PAS,03/03/2013,37,SDN,HONDA,P,51090,25140,25150,0,103.0,103,103,932033,0103,0000,0312A,,Q,O,183-19,JAMAICA AVE,,0.0,408.0,L,,YBYBYBB,0300A,0600A,BK,0.0,0.0,-,0.0,,,,,
1365557996,AM597W,NJ,PAS,03/03/2013,14,DELV,INTER,P,0,40404,40404,0,18.0,18,18,940527,0018,0000,0815A,,NY,F,1221,AVE R,,0.0,408.0,C,,BBBBBBB,ALL,ALL,WH,0.0,0.0,-,0.0,,,,,
1353852313,AD25760,AZ,PAS,03/03/2013,40,TRLR,,X,34230,10065,11110,0,10.0,10,136,948302,0136,0000,1150P,,NY,O,535,WEST 23 ST,,0.0,408.0,C,,BBBBBBB,ALL,ALL,WHITE,0.0,0.0,-,0.0,,,,,
1353472693,ELN4042,NY,PAS,03/04/2013,27,SUBN,NISSA,T,44750,10575,10575,20140921,122.0,122,303,347497,T303,0000,1204P,,R,F,2655,RICHMOND AVE,,0.0,408.0,J6,,BBBBBBB,ALL,ALL,SILVE,0.0,2011.0,-,0.0,,,,,
1353988065,HXF7492,PA,PAS,03/04/2013,14,SDN,CHRYS,P,57790,20390,20390,20140188,115.0,115,0,330607,QTPU,0000,0407P,,Q,F,109-14,NORTHERN BLVD,,0.0,408.0,F2,,YYYYYBB,0400P,0700P,BL,0.0,0.0,-,0.0,,,,,
1358451310,GAJ4518,NY,PAS,03/04/2013,21,SDN,TOYOT,S,0,40404,40404,20150511,112.0,112,0,921370,QW08,0000,0739A,,Q,F,100-21,QUEEN BLVD,,0.0,408.0,D1,,YYYYYYB,0730A,0800A,GY,0.0,2011.0,-,0.0,,,,,
1359430398,GER8997,NY,PAS,03/04/2013,50,SDN,NISSA,P,0,0,0,20150127,43.0,43,43,940068,0043,0000,0121A,,BX,,,C/O PORDY,E TREMONT AVE,0.0,408.0,F7,,BBBBBBB,ALL,ALL,BLK,0.0,2013.0,-,0.0,,,,,
1362424470,GGF6333,NY,PAS,03/04/2013,21,SUBN,MAZDA,P,0,40404,40404,20150718,104.0,104,104,906108,0104,0000,1130A,,,O,20-11,MENAHAM ST,,0.0,408.0,D1,,BBBBBBB,1100A,1230P,GY,0.0,2001.0,-,0.0,,,,,
1362503046,4KZ4400,CA,PAS,03/04/2013,66,TRLR,,S,73290,31930,62630,0,90.0,90,0,635766,0PIU,0000,1210A,,K,O,311,RICHARDSON ST,,0.0,408.0,K4,,BBBBBBB,ALL,ALL,GRAY,0.0,0.0,-,0.0,,,,,
1362871278,GCR2902,NY,PAS,03/04/2013,21,SDN,HONDA,S,30420,73420,76950,20141226,43.0,43,0,875248,BX09,0000,1146A,,BX,F,1152,ELDER AVE,,0.0,408.0,D1,,BYBBYBB,1130A,0100P,GREY,0.0,2003.0,-,0.0,,,,,
1364648556,GGW8649,NY,PAS,03/04/2013,19,SUBN,FORD,P,34130,66330,66230,20150619,94.0,94,94,935794,0094,0000,0120P,,K,F,556,DRIGGS AVE,,0.0,408.0,C3,,BBBBBBB,0  :,0  :,BLUE,0.0,1996.0,-,0.0,,,,,
1363159082,34107JM,NY,COM,03/04/2013,21,VAN,CHEVR,S,36370,24690,10610,20150731,32.0,32,0,606987,MN10,0000,0938A,,NY,F,148,WEST 130 ST,,0.0,408.0,D1,,BYBBYBB,0930A,1100A,WHITE,0.0,2003.0,-,0.0,,,,,
1364775128,WYN5196,VA,PAS,03/04/2013,41,SDN,HONDA,P,0,0,0,20140228,111.0,111,111,936124,0111,0000,0954A,,Q,I,,C/O CLOVERSDALE,HUXIE DR,0.0,408.0,F1,,YYYYYBB,0900A,1100A,GRY,0.0,0.0,-,0.0,,,,,
1365912176,GGL30547,NY,PAS,03/04/2013,98,SUBN,BMW,P,41420,29430,27750,20150501,52.0,52,52,941496,0052,0000,0800A,,BX,F,3047,HULL AVE,,0.0,408.0,D1,,BBBBBBB,ALL,ALL,BL,0.0,2013.0,-,0.0,,,,,
1366128357,63110JM,NY,COM,03/04/2013,19,VAN,,P,10810,34170,34190,0,10.0,10,401,926149,0401,0000,0611P,,NY,F,210,8 AVE,,0.0,408.0,C3,,BBBBBBB,0  :,0  :,BN,0.0,0.0,-,0.0,,,,,
1366349714,46101MD,NY,COM,03/04/2013,20,VAN,DODGE,P,9440,59590,54580,20150430,109.0,109,109,949134,0109,0000,1033A,,Q,F,135-33,40 ROAD,,0.0,408.0,F2,,BBBBBBB,ALL,ALL,WHITE,0.0,2007.0,-,0.0,,,,,
1366454017,GFM5191,NY,PAS,03/04/2013,46,SDN,VOLKS,P,0,40404,40404,20150510,19.0,19,19,950473,0019,0000,0530P,,,O,316,E 82,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,BLUE,0.0,2009.0,-,0.0,,,,,
1366981492,GKU4534,NY,PAS,03/04/2013,40,SDN,INFIN,X,9180,6080,42630,20151030,68.0,68,68,948862,0068,0000,1047P,,K,O,1014,52 ST,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,GY,0.0,2014.0,-,0.0,,,,,
1359025418,77729JW,NY,COM,03/04/2013,46,VAN,FORD,P,10910,34590,34610,20150430,14.0,14,14,951693,0014,0000,0405A,,NY,F,568,9TH AVE,,0.0,408.0,C4,,BBBBBBB,ALL,ALL,WHITE,0.0,2007.0,-,0.0,,,,,
1359112443,89747JV,NY,COM,03/04/2013,46,VAN,DODGE,P,53790,21340,21390,0,106.0,106,106,939297,0106,0000,1155A,,Q,F,120-08,LIBERTY AVE,,0.0,408.0,K5,,BBBBBBB,0  :,0  :,WHITE,0.0,2006.0,-,0.0,,,,,
1359876420,FBG3907,NY,PAS,03/04/2013,74,SDN,TOYOT,P,54010,42030,58330,20140916,94.0,94,94,924721,0094,0000,1018A,,K,F,154,KENT ST,,0.0,408.0,C,,BBBBBBB,0  :,0  :,BLUE,0.0,2010.0,-,0.0,,,,,
1365710865,FGN3138,NY,PAS,03/04/2013,14,SDN,ME/BE,P,36470,24695,24690,20150228,32.0,32,32,950870,0032,0000,0140A,,NY,F,40,W 135,,0.0,408.0,K6,,BBBBBBB,ALL,ALL,GY,0.0,2014.0,-,0.0,,,,,
1364767181,DGK9471,NY,PAS,03/04/2013,20,SDN,HYUND,P,11640,39260,27092,20150417,111.0,111,111,943661,0111,0000,1026A,,Q,F,227-03,56 AVE,,0.0,408.0,D,,YYYYYBB,0900A,1100A,BLK,0.0,2002.0,-,0.0,,,,,
1367022940,FSK6529,NY,PAS,03/04/2013,46,VAN,FORD,P,0,0,0,20151031,84.0,84,84,929106,0084,0000,1045A,,K,,,50  C/N OF ADAMS,JOHNSON,0.0,408.0,F1,,BBBBBBB,0  :,0  :,WHITE,0.0,2011.0,-,0.0,,,,,
1355193680,ESD3775,OH,PAS,03/05/2013,46,SDN,NISSA,P,28830,14130,14180,0,76.0,76,70,938768,0070,0000,0204P,,K,F,1455,CONEY ISLAND AVE,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,GRY,0.0,0.0,-,0.0,,,,,
1360946901,FBX4341,NY,PAS,03/05/2013,71,FOUR,SATUR,P,0,0,0,20140718,25.0,25,25,905938,0025,0000,0305A,,NY,,,W/S 1485,5 AVE,0.0,408.0,J2,,BBBBBBB,ALL,ALL,RD,0.0,0.0,-,0.0,,,,,
1361816624,55003MB,NY,COM,03/05/2013,46,VAN,FRUEH,P,10110,18970,18990,0,23.0,23,23,953524,0023,0000,0511P,,NY,F,1952,2ND AVE,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,BROWN,0.0,2012.0,-,0.0,,,,,
1364791470,GHG3452,NY,PAS,03/05/2013,20,SDN,HONDA,P,0,40404,40404,20140615,111.0,111,111,938797,0111,0000,0920A,,Q,F,50-51,CLOVERDALE,,0.0,408.0,D,,YYYYYBB,0900A,1100A,GREY,0.0,2013.0,-,0.0,,,,,
1366722530,51814JS,NY,COM,03/05/2013,46,DELV,UT,P,13820,26730,70420,20141231,42.0,42,42,939199,0042,0000,0228P,1426P,BX,F,1299,BOSTON RD,,20140305.0,408.0,J3,,BBBBBBB,ALL,ALL,WHITE,0.0,2005.0,-,0.0,,,,,
1361855708,89608MC,NY,COM,03/05/2013,78,VAN,NISSA,P,35170,14510,15710,20150430,20.0,20,20,949730,0020,0000,0356A,,NY,F,65,W 70 ST,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,BLUE,0.0,2013.0,-,0.0,,,,,
1336795712,ESX6730,NY,PAS,03/05/2013,14,SDN,HONDA,P,10110,17230,17250,20150811,23.0,23,162,953940,0162,0000,1220A,,NY,F,202,2ND AVENUE,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,SILVE,0.0,2006.0,-,0.0,,,,,
1366983695,AD43450,99,COM,03/05/2013,78,DELV,GMC,P,10430,28230,73330,0,68.0,68,68,949657,0068,0000,0106A,,K,O,132,77ST,,0.0,408.0,K6,,BBBBBBB,0  :,0  :,WHITE,0.0,0.0,-,0.0,,,,,
1364443983,FWE6095,NY,PAS,03/05/2013,70,SDN,MAZDA,P,24090,16810,47390,20140213,107.0,107,107,945659,0107,0000,1112P,,Q,O,82-76,161 ST,,0.0,408.0,J6,,BBBBBBB,0  :,0  :,WHITE,0.0,2005.0,-,0.0,,,,,
1366006318,EMA6342,NY,PAS,03/05/2013,71,SUBN,SUBAR,P,57520,57720,9620,20141107,49.0,49,49,938122,0049,0000,0928A,,,,2235,PEARSAL AVE,,0.0,408.0,J6,,BBBBBBB,ALL,ALL,BLK,0.0,2012.0,-,0.0,,,,,
1364791468,FZH8711,NY,PAS,03/05/2013,21,SDN,NISSA,P,0,40404,40404,20140718,111.0,111,111,938797,0111,0000,0921A,,Q,F,50-51,CLOVERDALE,,0.0,408.0,D,,YYYYYBB,0900A,1100A,BLACK,0.0,2009.0,-,0.0,,,,,
1364961453,12026BB,NY,OMR,03/05/2013,77,BUS,FRUEH,P,0,0,0,20150228,109.0,109,109,941983,0109,0000,0939P,,Q,,,S/S 26 AVE,E/O 127 ST,0.0,408.0,C3,,BBBBBBB,ALL,ALL,BLK,0.0,2010.0,-,0.0,,,,,
1367028309,GFL9080,NY,PAS,03/05/2013,20,SDN,NISSA,P,95130,44530,63985,20150405,84.0,84,84,947995,0084,0000,0954P,,K,O,202,YORK ST,,0.0,408.0,C,,BBBBBBB,ALL,ALL,RED,0.0,2013.0,-,0.0,,,,,
1346082250,GCP4002,NY,PAS,03/06/2013,19,SDN,NISSA,P,0,40404,40404,20150429,13.0,13,13,934254,0013,0000,0110A,,NY,F,530,E 23,,0.0,408.0,C3,,BBBBBBB,ALL,ALL,GY,0.0,2009.0,-,0.0,,,,,
1268237814,BLANKPLATE,99,999,03/06/2013,70,VAN,CHEVR,X,83630,60330,17580,0,60.0,60,985,100349,0985,0000,0814P,,K,O,3811,SURF AVE,,0.0,408.0,J6,,BBBBBBB,ALL,ALL,GR,0.0,2002.0,-,0.0,,,,,
1268237826,BLANKPLATE,99,999,03/06/2013,71,VAN,CHEVR,X,83630,60330,17580,0,60.0,60,985,100349,0985,0000,0819P,,K,O,3811,SURF AVE,,0.0,408.0,E2,,BBBBBBB,ALL,ALL,GR,0.0,2002.0,-,0.0,,,,,
1268237838,BLANKPLATE,99,999,03/06/2013,74,VAN,CHEVR,X,83630,60330,17580,0,60.0,60,985,100349,0985,0000,0825P,,K,O,3811,SURF AVE,,0.0,408.0,J2,,BBBBBBB,ALL,ALL,GR,0.0,2002.0,-,0.0,,,,,
1268237840,BLANKPLATE,99,999,03/06/2013,74,VAN,CHEVR,X,83630,60330,17580,0,60.0,60,985,100349,0985,0000,0829P,,K,O,3811,SURF AVE,,0.0,408.0,J6,,BBBBBBB,ALL,ALL,GR,0.0,2002.0,-,0.0,,,,,
1268243425,EEK8201,NY,PAS,03/06/2013,40,P-U,CHEVR,X,49730,64230,57730,20131203,60.0,60,985,100352,0985,0000,0145P,0145P,K,F,4017,HIGHLAND AVE,,0.0,408.0,J3,,BBBBBBB,ALL,ALL,WHITE,0.0,2007.0,-,0.0,,,,,
1313504646,GLH7258,NY,PAS,03/06/2013,21,SDN,HYUND,S,50520,12550,74330,20160213,44.0,44,0,890813,BX04,0000,1200P,,BX,F,1261,MERRIAM AV,,0.0,408.0,D1,,BBBYBBB,1130A,0100P,BLUE,0.0,2013.0,-,0.0,,,,,
1364693136,GCD4843,NY,PAS,03/06/2013,40,SDN,TOYOT,P,6980,10780,10830,20150517,62.0,62,62,948231,0062,0000,0533P,,K,F,8416,19TH AVE,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,RED,0.0,2013.0,-,2.0,,,,,
1367061532,GBE3543,NY,PAS,03/06/2013,46,SUBN,NISSA,P,86630,26230,77930,20140909,67.0,67,67,951363,0067,0000,1250P,1250P,K,F,902,UTICA AVE,,0.0,408.0,E2,,BBBBBBB,ALL,ALL,GREY,0.0,2003.0,-,0.0,,,,,
1348138531,FRZ3019,NY,PAS,03/06/2013,40,SDN,LEXUS,P,90880,14330,14380,20151026,62.0,62,62,949763,0062,0000,0610P,,K,F,1514,W 8 STREET,,0.0,408.0,E2,,BBBBBBB,ALL,ALL,GREY,0.0,2012.0,-,0.0,,,,,
1366914983,EYD8409,NY,PAS,03/06/2013,16,SDN,HONDA,P,0,0,0,20140331,19.0,19,19,934644,0019,0000,0512A,,NY,F,300,EAST 170 ST,,0.0,408.0,K2,,BBBBBBB,ALL,ALL,WHITE,0.0,2012.0,-,0.0,,,,,
1335779012,49973JG,NY,COM,03/06/2013,46,DELV,INTER,X,21790,33970,14810,0,6.0,6,136,929308,0136,0000,0945A,,,O,708,GREENWICH ST,,0.0,408.0,E1,,YYYYYYY,ALL,ALL,BR,0.0,2008.0,-,0.0,,,,,
1346152070,FMR1519,NY,PAS,03/06/2013,40,SDN,NISSA,P,53935,34330,56630,20150711,73.0,73,73,946804,0073,0000,0526P,,K,O,441,JUNIUS,,0.0,408.0,E2,,BBBBBBB,ALL,ALL,GREEN,0.0,2007.0,-,0.0,,,,,
1358068847,DBV3935,NY,PAS,03/06/2013,83,SUBN,CHEVR,P,82230,78030,86130,20140302,73.0,73,165,953080,0165,0000,0000P,,K,F,86,STONE AVE,,0.0,408.0,E2,,BBBBBBB,ALL,ALL,RED,0.0,1997.0,-,0.0,,,,,
1358068859,DBV3935,NY,PAS,03/06/2013,60,SUBN,CHEVR,P,82230,78030,86130,20140302,73.0,73,165,953080,0165,0000,1030P,,K,F,86,STONE AVE,,0.0,408.0,J7,,BBBBBBB,ALL,ALL,RED,0.0,1997.0,-,0.0,,,,,
